Class,Value,Description
12,Brothers from Another, Brothers from Another is the second studio album by Philadelphia rap-duo Young Gunz released on May 24 2005. After a brief hiatus the duo returned with Swizz Beatz produced Set It Off.The album had decent exposure of the lead single Set It Off with promotion for the album from Jay-Z himself TV radio and magazine appearances and featured appearances from Kanye West Swizz Beatz Daz Dillinger Slim and John Legend on the album.The album sold 138000 units.
12,Highlights from Porgy and Bess, Highlights from Porgy and Bess the 1935 album of George Gershwin's opera was recorded just days after Porgy and Bess opened on Broadway on October 10 1935. While the opera was performed by an all-African American singing cast the 1935 album featured mostly white opera singers attempting singing the Gullah-influenced words and music.
12,B'z The Best XXV 1999-2012, B'z The Best XXV 1999-2012 is a compilation album by Japanese hard rock duo B'z. It was released on June 12 2013 simultaneously with B'z The Best XXV 1988-1998 and it is part of their 25th anniversary celebration. It reached #2 at Oricon charts while B'z The Best XXV 1988-1998 itself reached the top.
12,A Happening in Central Park, A Happening In Central Park is the first live album by Barbra Streisand. It was recorded at a live concert in Central Park in New York in June 1967 in front of an audience of 135000 people.
12,2 More Loves, 2 More Loves is an album released by 2moro. The album remains first only and final full-length album through Rock Records.The album features previously debut self-titled (or 雙胞胎的初回盤) EP it contains five songs as well as nine new songs.
12,23-Ji no Ongaku, 23-Ji no Ongaku (２３時の音楽 Music of the 23rd Hour) is the second studio album by Yoko Kanno with vocals by frequent collaborator Maaya Sakamoto. It was released on May 22 2002. It is the soundtrack for the NHK radio drama adaptation of the book The Other Side of Midnight.
12,La Trayectoria (Gloria Trevi album), La Trayectoria (In English: The Trajectory) is a 2006 double live CD and multimedia DVD release by the Mexican singer Gloria Trevi.
12,Showtime (Dizzee Rascal album), Showtime is the second studio album by grime artist Dizzee Rascal. As of May 2007 the album has sold over 16000 units in the United States—a decline on his debut album Boy in da Corner which sold 58000. It's also been certified gold by the BPI selling over 100000 copies.
12,Monsieur Gainsbourg Revisited, Monsieur Gainsbourg Revisited is a tribute album to the works of late French singer/songwriter Serge Gainsbourg. First released on Virgin Records in 2006 it consists of English language cover versions of Gainsbourg songs performed by a diverse array of contemporary artists. Gainsbourg's former wife Jane Birkin sang on one track.
13,Broadway Nights, Broadway Nights is a 1927 American silent romantic drama film directed by Joseph C. Boyle and starring Lois Wilson and Sam Hardy. The film marked the debuts of Barbara Stanwyck and Ann Sothern who had small roles as fan dancers.
13,The Bonnie Parker Story, The Bonnie Parker Story is a 1958 crime film directed by William Witney. It is loosely based on the life of Bonnie Parker a well-known outlaw of the 1930s. The film stars Dorothy Provine as Parker; Parker's actual historical partner Clyde Barrow is renamed Guy Darrow for the film's story and played by Jack Hogan.
13,Junges Gemüse, Junges Gemüse is an East German film. It was released in 1956.
13,The Magus (film), The Magus is a 1968 film British mystery film directed by Guy Green. The screenplay was written by John Fowles based on his novel of the same name. It starred Michael Caine Anthony Quinn Candice Bergen and Anna Karina.
13,Dawg (film), Dawg is 2002 dramedy film directed by Victoria Hochberg. It stars Denis Leary and Elizabeth Hurley in their second film together. Steffani Brass was nominated for Young Artist Award with his role in this film. Although intended to be released in theaters under the title Bad Boy it was ultimately distributed direct-to-video.
13,Ghost of Chibusa Enoki, Ghost of Chibusa Enoki (怪談乳房榎 Kaidan chibusa enoki) aka The Mother Tree is a 1958 black-and-white Japanese film directed by Goro Katano. It is Japanese horror film (J-Horror).
13,J'ai rêvé sous l'eau, J'ai rêvé sous l'eau (US title: I Dreamt Under the Water) is a 2008 French romantic drama film directed and written by Hormoz. It tells the story of a bisexual man starving for love who becomes a male prostitute.
13,Juanita (film), Juanita is a 1935 French musical comedy film directed by Pierre Caron and starring Mireille Perrey Alfred Rode and André Berley. The following year it was remade in Britain as Gypsy Melody directed by Edmond T. Gréville and starring Lupe Velez and Alfred Rode.
13,Papa's Delicate Condition, Papa's Delicate Condition is a 1963 comedy film starring Jackie Gleason and Glynis Johns. It was an adaptation of the Corinne Griffith memoir of the same name about her father and growing up in Texarkana Texas.
13,Normal!, Normal! is a 2011 Algerian drama film written and directed by Merzak Allouache. It won the award for Best Film at the 2011 Doha Tribeca Film Festival.
13,When Time Ran Out, When Time Ran Out is a disaster film released in 1980 starring Paul Newman Jacqueline Bisset William Holden James Franciscus Ernest Borgnine Red Buttons Burgess Meredith Valentina Cortese Veronica Hamel Pat Morita Edward Albert and Barbara Carrera.
14,Family Relations (journal), Family Relations is a peer reviewed academic journal published on behalf of the National Council on Family Relations by Wiley-Blackwell. It covers family studies and social work research educational practices or philosophies and professional development for researchers educators family policy specialists and family practitioners.
14,Winged Creatures (novel), Winged Creatures is a drama novel written by Roy Freirich. Rowan Woods has directed a film based on the book.
14,Shadows Return, Shadows Return is the fourth book in Lynn Flewelling's Nightrunner series. It is preceded by Luck in the Shadows Stalking Darkness and Traitor's Moon and followed by The White Road.With their most treacherous mission yet behind them heroes Seregil and Alec resume their double life as dissolute nobles and master spies. But in a world of rivals and charmers fate has a different plan.
14,Sacrifice (novel), Sacrifice is the fifth book in the Legacy of the Force series. The book is written by Karen Traviss and was released on May 29 2007.
14,Happy Seven, Happy Seven (はっぴぃセブン 〜ざ·テレビまんが〜 Happy 7 ~The TV Manga~) is an anime series which consists of 13 episodes that began airing in Japan October 2 2005. The original story was by Hiroyuki Kawasaki. It was directed by Tsutomu Yabuki and produced by Studio Hibari and Trinet Entertainment.
14,From the Mixed-Up Files of Mrs. Basil E. Frankweiler, From the Mixed-Up Files of Mrs. Basil E. Frankweiler is a novel by E. L. Konigsburg. It was published by Atheneum in 1967 the second book published from two manuscripts the new writer had submitted to editor Jean E.
14,Dragon's Claw, Dragon's Claw is the title of an action-adventure novel by Peter O'Donnell which was first published in 1978 featuring the character Modesty Blaise which O'Donnell had created for a comic strip in the early 1960s. It was the ninth book to feature the character.
14,Shikufitzky, Shikufitzky is a comic strip appearing in the weekly Jewish magazine Mishpacha.[1]Shikufitzky is also the books of short comics about their family
14,The Medusa Stone, The Medusa Stone is an adventure novel by Jack Du Brul. This is the third book featuring the author’s primary protagonist Phillip Mercer.
14,The Year of the Hangman, The Year of the Hangman is a young adult alternate history novel written by Gary Blackwood and published in 2002. It was a School Library Journal Best Book of the Year in 2002.
14,Humana.Mente, Humana.Mente – Journal of Philosophical Studies is a quarterly peer-reviewed academic journal of philosophy. Each issue focuses on a specific theme selected from among critical topics in the contemporary philosophical debate and is edited by a specialist on the subject usually an emerging researcher with both philosophical and scientific competence. The editor-in-chief is Duccio Manetti (University of Florence).
