Class,Value,Description
4,Monty Hoyt, Monty Hoyt (September 13 1944 in Baltimore Maryland É?? October 9 1997 in Phoenix Arizona) was an American figure skater. He was the 1962 U.S. national champion the 1961 Junior national champion and the 1959 Novice national champion. He represented the United States at the 1964 Winter Olympics where he placed 10th.After winning the U.S. junior title in 1961 Hoyt had tickets to be on Sabena Flight 548 to attend the World Figure Skating Championships.
4,Olivier Magnan, Olivier Magnan-Grenier (born May 1 1986 in Sherbrooke Quebec) is a Canadian professional ice hockey defenceman who currently plays in the NHL with the New Jersey Devils. He was drafted by the New Jersey Devils in the 5th Round (148th overall) of the 2006 NHL Entry Draft.
4,Chic Calderwood, Chic Calderwood (1 September 1937 É?? 12 November 1966) was a Scottish light-heavyweight boxer from Craigneuk in North Lanarkshire Scotland who was active from 1957 to 1966. He was 6 ft. 3 in. tall and had a venomous punch winning many of his fights by knockouts. His career was cut short when he was killed in an automobile accident.
4,John Keogh (footballer), John Keogh (born 1940 in Finglas Dublin) is an Irish former professional football player who played as a full back in the 1960s.He started his footballing career with the Dublin nursery club Stella Maris on Richmond Road near Drumcondra. They won the Dublin District Schoolboys League Under 14 15 16 & 17. Keogh was captain for the last two seasons. They also won the All-Ireland Under 15 title.
4,Mouez Hassen, Mouez Hassen (born 5 March 1995 in Fr??jus France) is a French footballer from Tunisian descent who currently plays for French OGC Nice. He's a goalkeeper. He made his Ligue 1 debut at 25 September 2013 in a 2-0 away defeat against FC Nantes.
4,Zhou Bo Quan, Zhou Bo Quan is a paralympic athlete from China competing mainly in category F13 throws events.Zhou Bo Quan first competed in the 2000 Summer Paralympics in all three throws shot javelin and discus but it wasn't until the following games in Athens that he won his first medal a silver in the F13 javelin as well as again competing in the discus.
4,Carol Waller, Carol Waller (born (1949-09-20)20 September 1949 in New Zealand) is a former association football player who represented New Zealand at international level.Waller made her Football Ferns debut in their first ever international as they beat Hong Kong 2-0 on 25 August 1975 at the inaugural AFC Women's Asian Cup. She finished her international career with 4 caps to her credit.
4,Heath Bell, Heath Justin Bell (born September 29 1977) is an American professional baseball relief pitcher for the Tampa Bay Rays of Major League Baseball (MLB). He previously played for the New York Mets San Diego Padres Miami Marlins and Arizona Diamondbacks. While playing with the Padres he was a three-time All-Star and twice won the Rolaids Relief Man Award.
4,Dick Conway, Richard Butler Conway (April 25 1865 É?? September 9 1926) was a pitcher/right fielder who played from 1886 through 1888 in Major League Baseball. Conway batted left-handed and threw right-handed. He was born in Lowell Massachusetts.As a teenager Conway played for local Lowell teams.
4,Tom Hadfield (rugby league), Bernard Thomas Tom Hadfield is a New Zealand rugby league player who represented his country in the 1957 and 1960 World Cups and retired as the highest try-scorer in the New Zealand national side's history.
4,Generoso Rossi, Generoso Rossi (born 3 January 1979) is an Italian footballer currently free agent who most recently played for the Sorrento in the Lega Pro Prima Divisione É?? B.
4,Hugh Plowman, Hugh McDonald Plowman (21 April 1889 É?? 19 July 1916) was an Australian rules footballer who played with St Kilda in the Victorian Football League. Also an adept cricketer he enlisted in the army during World War I. He met the Prince of Wales after receiving his commission as an officer but was killed in action in 1916.
4,Carsten Klee, Carsten Klee (born 15 September 1970) is a former German footballer.
4,Andriy Kornyev, Andriy Kornyev (Ukrainian: ?ê?´??•?•??? ?????Ø???????¨??•????˝??•? ????•??´•??˝; born 1 November 1978 Kiev Ukrainian SSR Soviet Union) is a professional Ukrainian football defender who last played for FC Obolon Kyiv. FC Obolon Kyiv dissolved itself in February 2013.
4,Luka Gusié?, Luka Gusié? (born 27 September 1989 in Split) is a Croatian football defender.
4,Manuchar Machaidze, Manuchar Machaidze (Georgian: †ü?†üê†ü?†üú†ü?†üê†üˇ †ü?†üê†ü?†üê†ü?†üÆ†ü?; Russian: ???¯?´•ü•??¯•? ?????¨?Ê?´•?•??Ê?˝??•? ???¯•??¯?????˙?Ê Manuchar Domentyevich Machaidze) (born 25 March 1949) is retired a Georgian football player. He spent most of his career with Dinamo Tbilisi for whom his brother Gocha also played. From 1995 to 1999 he was member of the Parliament of Georgia. In Georgia he is also known as an amateur artist.
4,Patricio Jeria, Patricio Andr??s Jeria Alvarado (born 10 September 1989) is a Chilean footballer who currently plays for Chilean Primera B side Lota Schwager as centre back.
4,Imre Taussig, Imre Taussig (1894 É?? 1945) was a Hungarian international footballer who played as a forward. Taussig who was Jewish played club football for MTK for his entire career also represented Hungarian national team at international level earning 5 caps between 1914 and 1918.
4,Cathal McInerney, Cathal McInerney is an Irish sportsperson. He plays hurling with his local club Cratloe and has been a member of the Clare senior inter-county team since 2011. He made his Championship debut for Clare against Tipperary in the 2011 Munster Senior Hurling Championship on 19 July 2011 scoring two points.Came on in late V Wexford in 2013 Championship and scored 2-1 in extra time.
4,Handszar Odeev, Handszar Odeev (born 27 January 1972) is a Turkmen chess Grandmaster (2005).He played a record seven times in the Soviet Union Junior Chess Championships: in 1984 1985 1986 1987 1988 1989 and 1990. Played for Turkmenistan in the Chess Olympiads of 1994 1996 1998 2000 2002 2006 and 2010 and in the Asian Team Chess Championship of 2003.
4,Tom?≠è≠ èˇkvaridlo, Tom?≠è≠ èˇkvaridlo (born June 19 1981) is a Slovak professional ice hockey player currently playing for HKm Zvolen in the Slovak Extraliga. He was drafted 144th overall by the Pittsburgh Penguins in the 1999 NHL Entry Draft.
4,Luk?≠è≠ Mensator, Luk?≠è≠ Mensator (born August 18 1984) is a Czech professional ice hockey goaltender. Mens?≠tor played with HC Karlovy Vary in the Czech Extraliga during the 2010É??11 Czech Extraliga season.He was selected by the Vancouver Canucks in the 3rd round (83rd overall) of the 2002 NHL Entry Draft.
4,Jatin Paranjpe, Jatin Paranjpe About this sound pronunciation (born 17 April 1972 inBombay Maharashtra) is an Indian cricketer. He is a left-handed batsman anda slow left-arm orthodox bowler.Married to Gandhali Bendre sister of Sonali Bendre (Bollywood Actress)Jatin Paranjpe was a middle-order batsman who played briefly at the international level in 1998 before an ankle injury forced him out of the national team.
4,Brian Malone, Brian Malone (born 7 August 1985) is a member of the Wexford senior football team. He made his debut against Monaghan in the 2006 All-Ireland qualifiers. Malone has also represented Wexford in senior hurling. He won a Leinster and all-Ireland intermediate hurling medal in 2007.Brian Malone has previously taught at Blackrock College and currently teaches at St. Peters Wexford. He trained as a teacher at Mater Dei Institute of Education Dublin.
4,Santiago Urquiaga, Santiago Urquiaga P??rez (born 18 April 1958 in Barakaldo Biscay) is a Spanish retired footballer who played as a right defender.
4,Joe Ward (boxer), Joe Ward is an Irish amateur boxer from Moate Westmeath Ireland.
4,Erhun Obanor, Erhun Obanor is a Nigerian professional footballer who plays as a Defender for Bendel Insurance F.C..He's a member of the Nigeria national football team.
4,W Fry, W Fry was an Australian rugby league player for Eastern Suburbs club in their foundation season. Fry played fullback in the clubÉ??s opening match in which they defeated the Newtown club 32É??16.
4,Percy Tulloh, Percy Tulloh (born 19 September 1900) was an Australian rules football player who spent most of his career with Melbourne in the Victorian Football League (VFL) and also played one season with St Kilda.
4,Kieran Joyce, Kieran Joyce (born 4 April 1987) is an Irish hurler who currently plays as a right wing-back for the Kilkenny senior team.Joyce made his first appearance for the team during the 2012 National League and was subsequently included in Kilkenny's championship team. A two-time All-Ireland medalist in the under-21 grade Joyce has also won a National Hurling League winners' medal at senior level.At club level Joyce plays for the local Rower-Inistioge club.
4,Brecht Verbrugghe, Brecht Verbrugghe (born 29 April 1982 in Roeselare) is a Belgium football midfielder who currently plays for KV Kortrijk. He joined to S.V. Zulte Waregem in 2002 he came from K.A.A. Gent.
4,Celma Bonfim da Gra??a, Celma da Gra??a Soares Bonfim (born December 23 1977) is a Santomean long-distance runner. Da Gra??a represented S?úo Tom?? and Pr??ncipe at the 2008 Summer Olympics in Beijing where she carried the nation's flag for her team during the opening ceremony. She ran in the first heat of the women's 5000 metres against fifteen other athletes including Ethiopia's Tirunesh Dibaba who eventually won the gold medal in this event.
4,Aikaterini Bliamou, Aikaterini (Katerina) Bliamou (Greek: ?????ß?Ò???Ê?Å???´?˙ ???Ò???Ê?Å???´?Ò ?????Ø???™?¨?®??; born October 15 1982 in Serres Kentriki Makedonia) is a former female backstroke and freestyle swimmer from Greece. She won a bronze medal at the 2005 Mediterranean Games and represented her native country at the 2000 Summer Olympics in Sydney Australia.
4,Pa Dembo Touray, Pa Dembo Touray pronounced Tour?? (born March 31 1980 in Banjul) is a Gambian football player (goalkeeper) and national team player for Gambia. He currently plays for South African National First Division club Engen Santos.
4,Jack Hardy (footballer), Jack Hardy (born 10 April 1927) is a former Australian rules footballer who played with Carlton in the Victorian Football League (VFL).
4,Katharina Schiller, Katharina Schiller (born June 22 1984 in Hildesheim) is a German swimmer who specialized in freestyle and individual medley events. Schiller won a bronze medal as a member of the German swimming team at the 2007 Summer Universiade in Bangkok Thailand with a final time of 3:42.68. Schiller is a member of the swimming team for VfV Hildesheim and is coached and trained by Jacqueline Zenner.
4,Elmer Wilkens, Elmer Sutter Wilkens (June 26 1901 É?? March 18 1967) was an American football player in the National Football League. He played with the Green Bay Packers during the 1925 NFL season.
4,Jim Washington, James H. Jumpin Jimmy Washington (born July 1 1943 in Philadelphia Pennsylvania) is a former professional basketball player. A 6'6 forward from Villanova University he was selected by the St. Louis Hawks with the 6th pick of the 1965 NBA Draft. After one year with the Hawks he joined the Chicago Bulls where he became a fan favorite as the first Bull to average more than ten rebounds per game.
4,Kriangkrai Chasang, Kriangkrai Chasang is a professional footballer from Thailand. He currently plays for Bangkok in the Thai Division 1 League.
5,Augustus Porter, Augustus S. Porter (January 18 1769 É?? June 10 1849) was an American businessman judge farmer and politician who served as an Assemblyman for the state of New York.
5,Jack Masters, John Gerald (Jack) Masters (born September 27 1931) is a former Canadian politician. He served as mayor of the city of Thunder Bay Ontario and as a federal Member of Parliament.
5,Sayed Abdul Ghafar Sayed Zadah, Lieutenant General Sayed Abdul Ghafar Sayed zadah General Sayed Abdul Ghafar SayedzadaPHOTO ?????? ???????????ß?Å???Ò ???????˝?????? (born September 10 1956) is an Afghan Lieutenant general who is known as police foster throughout Afghanistan He served more than 30 years in police duty around Afghanistan; currently he is serving as General Chief of Herat police headquarters.After graduation from high school he joined the police academy in Kabul City (???ü???????? ??????????).
5,Bhalchandra Yadava, Bhalchandra Yadava (born 1 July 1958) is an Indian politician for the Khalilabad (Lok Sabha constituency) in Uttar Pradesh.
5,T.W. Shannon, Tahrohon Wayne Shannon (born February 24 1978) is a United States politician from the U.S. state of Oklahoma. Shannon currently serves in the Oklahoma House of Representatives and recently stepped down as the Speaker of the House to run for the Republican nomination in the special senate election to succeed U.S.
5,Jim Ananich, James Ananich or Jim Ananich is a politician from the State of Michigan. He is a Democratic Party member of the Michigan State Senate representing the 27th District which is located in Genesee County and includes part of the city of Flint.
5,Oskar Potiorek, Oskar Potiorek (20 November 1853 É?? 17 December 1933) was an officer of the Austro-Hungarian Army who served as Governor of Bosnia and Herzegovina from 1911 to 1914. He was a co-passenger in the car carrying Archduke Franz Ferdinand of Austria and his wife Duchess Sophie of Hohenberg when they were assassinated in Sarajevo on 28 June 1914. In the following World War I Potiorek commanded the Austro-Hungarian forces in the Serbian Campaign of 1914/15.
5,Jim Scheer, Jim Scheer (born September 19 1953 in Norfolk Nebraska) is an American politician and is a Nebraska state senator in the unicameral Nebraska Legislature representing District 19; the legislature itself is non-partisan.
5,Ijyaraj Singh, Ijyaraj Singh or his highness Maharao Kunvar Ijyaraj Singh is a member of parliament representing the Kota constituency in the Lok Sabha. He is the former maharaj kumar (prince) of the erstwhile state of Kotah and a member of the Kota royal family. Singh contested and won his seat in the 2009 Lok Sabha elections on the ticket of the Indian National Congress defeating Shyam Sharma of the Bharatiya Janata Party.
5,Jan Helenus Ferguson, Jan Helenus Ferguson (19 May 1826 É?? 13 April 1908) was a Dutch colonial government official and diplomat who made a career in the administration of the Dutch West Indies and the Dutch Gold Coast before becoming consul general of the Netherlands to China. Ferguson also authored several works on international law sociology and philosophy.
5,Vijay Eswaran, Vijay Eswaran (born 7 October 1960) is a Malaysian businessman currently serving as the Executive Chairman of the QI Group headquartered in Hong Kong. He is also an author.
5,Charles B. Mitchel, Charles Burton Mitchel (September 19 1815 É?? September 20 1864) was a Democratic Party politician from Arkansas who represented the state in the U.S. Senate in 1861 and in the Confederate States Senate from 1861 until his death.
5,John Flerlage, John Flerlage (born 1958) is a retired U.S. Marine Corps Lieutenant Colonel and the former Democratic nominee for U.S. House of Representatives in Colorado's 6th congressional district. He is currently a Boeing 767 captain flying international routes for Delta Air Lines. Flerlage is a member of the Air Line Pilots Association International Veterans of Foreign Wars and the Chamber of Commerce.
5,Lino Sima Ekua Avomo, Lino Sima Ekua Avomo (born 4 April 1957 in Mongomo Equatorial Guinea) is the Permanent Representative of Equatorial Guinea to the United Nations. He presented his credentials to Secretary-General Kofi Annan on 21 May 2003.
5,Daniel Turp, Daniel Turp (born April 30 1955) is a professor of constitutional and international law at the Universite de Montreal Canada. He served as a Bloc Qu??b??cois Member of Parliament (1997É??2000) and as a Parti Qu??b??cois member of the Quebec National Assembly (2003É??2008).
5,Aliyu Doma, Aliyu Akwe Doma (born 1 September 1942 ) is a Nigerian civil servant who became governor of Nasarawa State in May 2007 standing for the People's Democratic Party (PDP).
5,Frank G. Wisner, Frank George Wisner II (born July 2 1938) is an American businessman and former diplomat. He is the son of Frank Wisner (1909É??1965). On January 31 2011 he was sent to Egypt by President Barack Obama to negotiate a resolution to the popular protests against the regime that have swept the country. A White House spokesman said that Wisner had vast experience in the region as well as close relationships with many Egyptians in and out of government.
5,Daniel Joseph Ryan, Daniel Joseph Ryan is an American politician to the Massachusetts House of Representatives. He is a Democrat from Boston Massachusetts who was sworn in April 16 2014 to represent the 2nd Suffolk seat. He won the March 4 primary and the April 1 special election called after the resignation of Eugene O'Flaherty.
5,Matthew Birchard, Matthew Birchard (January 19 1804É??June 16 1876) was a judge in the U.S. State of Ohio who was an Ohio Supreme Court Judge 1842-1849.Matthew Birchard was born in Becket Massachusetts and came to Trumbull County Ohio near Warren at age eight.
5,Mar??a Antonieta de Bogr?≠n, Mar??a Antonieta de Bogr?≠n (born 13 July 1955) is the former 1st Vice President of Honduras. She was one of the three candidates for Vice President of Honduras with the National Party in the 2009 Honduran elections and also served as that party's national chairperson during those elections. President-elect Porfirio Lobo Sosa won the election with approximately 55% of the vote.
5,Simone McGurk, Simone Frances McGurk (born 5 December 1963) is an Australian politician. She is the member for the Western Australian Legislative Assembly seat of Fremantle.
5,Nicholas Taylor, Nicholas Nick William Taylor (born November 17 1927 in Bow Island Alberta) is a retired geologist businessman and politician and former Canadian Senator from Alberta Canada.Taylor started his political career by running for the Liberal Party of Canada in the 1968 and 1972 federal elections in Calgary Centre he was defeated both times.Taylor later became leader of the Alberta Liberal Party from 1974 to 1988.
5,Danny O'Brien (politician), Daniel David Danny O'Brien is an Australian politician and a Member of the Victorian Legislative Council representing the Eastern Victoria Region for the National Party.O'Brien was born and raised in Traralgon in Victoria's Gippsland region. He began his career as a journalist and later became chief of staff to Peter Ryan then a senior advisor to Deputy Prime Minister Mark Vaile and worked in the trade department of the Australian embassy in Jakarta.
5,Garapaty Satyanarayana, Garapaty Satyanarayana (Telugu : Ö¯?Ö¯?Ö¯¯Ö¯¶Ö¯?Ö¯?Ö¯® Ö¯?Ö¯?ÖÒçÖ¯?Ö¯?Ö¯?Ö¯¯Ö¯?Ö¯?Ö¯ú ) was a veteran freedom fighter and legislator. He was the first elected Member of the Legislative Assembly from the Eluru constituency Andhra Pradesh India.
5,James Bradney, James Henry Bradney (2 April 1853É??26 May 1936) was a New Zealand Reform Party Member of Parliament and shipping proprietor.
5,Bruce Keogh, Sir Bruce Edward Keogh KBE FRCS FRCP (born 24 November 1954) has been Medical Director of the National Health Service in England since 2007 and National Medical Director of the NHS Commissioning Board (NHS England) since 2013.
5,Ralph Hess, Ralph W. Hess (born December 25 1939) is a former member of the Pennsylvania State Senate serving from 1971 to 1990.
5,Alex Jupp, George Alexander (Alex) Jupp (born 30 May 1927) was a Progressive Conservative party member of the Canadian House of Commons. He was a teacher and businessman by career.He represented Ontario's Mississauga North electoral district which he won in the 1979 federal election. After serving his only term the 31st Canadian Parliament he was defeated in the 1980 federal election by Douglas Fisher of the Liberal party.
5,Georgia Boy Williams, Bascom D. Williams (October 23 1908 É?? November 9 1990) known as Georgia Boy Williams was a Florida state legislator. He served in the Florida House of Representatives from 1956 to 1959 for Columbia County Florida. He lived in Lake City Florida.Williams was born in 1908 at Bonifay Florida and was educated at public schools. He married Ocille A. Jenkins of Chipley Florida and had four children Phyllis Amanda Sylvia Del Billie Joe and Freddie June.
5,Fr??d??ric Dohou, Fr??d??ric Dohou is a political figure from Benin.He holds a PhD in Development Economics (1986) and he held several ministerial posts under the chairmanship of Mathieu K??r??kou.Founder of the University of Science and Technology of Benin it is currently the chairman of the board of the Network of Universities of Science and Technology of the Countries of Africa south of the Sahara (RUSTA).
5,Donald Olson, Donald C. Donny Olson is a Democratic member of the Alaska Senate representing the T district since 2001. He rejected a bribe and was later exonerated in the Alaska political corruption probe.
5,Vincent Pala, Vincent H Pala (born 14 February 1968 Village) is an Indian politician belonging to Indian National Congress. In the 2009 election he was elected to the 15th Lok Sabha from the Shillong Lok Sabha constituency.
5,Michael Hough (politician), Michael Hough (born November 4 1979) serves in the Maryland House of Delegates representing District 3B which covers portions of Frederick and Washington Counties. He was the former chairman and served on the Frederick County Republican Central Committee. Hough is also the former president of the Maryland Republican Assembly. He is a member of the American Legislative Exchange Council ALEC serving as Maryland state leader.
5,Richard Lyons 1st Viscount Lyons, Richard Bickerton Pemell Lyons 1st Viscount Lyons GCB GCMG PC DCL (6 April 1817 - 5 December 1887) was an eminent British diplomat.
5,Tommy Banks, Thomas Benjamin Banks OC AOE (born December 17 1936) is a Canadian pianist conductor arranger composer television personality and former senator.Born in Calgary Alberta he moved to Edmonton Alberta in 1949 where he has resided until the present day. He presented a show on CKUA called The Solo Piano of Tommy Banks in about 1960.
5,Mohammed Lawal, Rear Admiral (rtd) Mohammed Alabi Lawal (1946 É?? 15 November 2006) was a Nigerian naval officer who was military governor of Ogun State between December 1987 and August 1990 during the military administration of General Ibrahim Babangida. He was instrumental to the establishment of Nigerian Navy Secondary Abeokuta.
5,Sidney Sonnino, Baron Sidney Costantino Sonnino (11 March 1847 É?? 24 November 1922) was an Italian politician. He twice served briefly as Prime Minister in 1906 and again from 1909-1910 and was the Italian Minister of Foreign Affairs during the First World War representing his country at the 1919 Paris Peace Conference.
5,H. Lallungmuana, Pu H. Lallungmuana is a politician from Mizoram who was a Member of the Mizoram (Lok Sabha constituency) as an Independent candidate in the 12th Lok Sabha the lower house of the Indian Parliament.
5,John Pakington 1st Baron Hampton, John Somerset Pakington 1st Baron Hampton GCB PC FRS (20 February 1799 É?? 9 April 1880) known as Sir John Pakington Bt from 1846 to 1874 was a British Conservative politician.
5,Charles J. Warner, Charles Joseph Warner (March 29 1875 - September 24 1955) was a Nebraska politician. He was a state legislator for 26 years the first speaker of the state's unicameral legislature and a four-term Lieutenant Governor.Warner was born in Lancaster County Nebraska in 1875. He graduated from University of Nebraska in 1899 and Columbian Law School in Washington D.C.
5,Victor Soltero, Victor E. Soltero is a Democratic politician. He has served as Arizona State Senator for District 29 since his appointment in 2003 and earlier from 1991 through 2000. He was a member of the Arizona House of Representatives from 2000 through 2003 and Mayor of the City of South Tucson from 1988 through 1999.
5,David Travis, David M. 'Dave' Travis was a Democratic Party member of the Wisconsin State Assembly representing the 81st Assembly District from 1983 through 2009.
5,Lin Thorp, Lin Estelle Thorp (born 4 November 1953) is an Australian politician. She was an Australian Labor Party member of the Tasmanian Legislative Council from 1999 until 2011 representing the electorate of Rumney and serving as Minister for Human Services (2008É??2010) and Minister for Education and Skills Minister for Children and Minister for Police and Emergency Management (2010É??2011) in the Bartlett and Giddings governments.
5,Kamala Harris, Kamala Devi Harris (/??kê??êmê?lê?/; born October 20 1964) is an American attorney. She is the 32nd and current Attorney General of California following the 2010 California state elections. Harris has worked as an author and a politician and served as District Attorney of San Francisco from 2004 to 2011. First elected in 2003 defeating incumbent district attorney Terence Hallinan she was re-elected in 2007.
5,Jeff McWaters, Jeffrey L. McWaters (born 1956/1957 (age 57É??58) is a Republican member of the Senate of Virginia. He represents the 8th district which includes a portion of Virginia Beach. He was first elected in a special election in January 2010 which was held to replace Ken Stolle who had been elected sheriff.
5,Gordon Wallace Scott, Gordon Wallace Scott (1 October 1887 É?? 14 December 1940) was a Canadian politician.Born in Montreal Quebec Scott appointed Treasurer in the cabinet of Louis-Alexandre Taschereau on October 16 1930. He was the unusucessful Liberal candidate for the riding of Huntingdon in a by-election held on November 4 1930 losing to Martin Fisher. He held the role of Treasurer until November 27.
5,Ambassador Thomas Graham Jr., Ambassador Thomas Graham Jr. is one of the world's leading experts in nuclear non-proliferation. He is a senior U.S. diplomat involved in the negotiation of every single international arms control and non-proliferation agreement from 1970 to 1997.
5,Adolphe Gagnon, Adolphe Gagnon (May 20 1810 É?? August 28 1885) was a merchant and political figure in Quebec. He represented Charlevoix in the Legislative Assembly of the Province of Canada from 1861 to 1866 and in the Legislative Assembly of Quebec from 1871 to 1875 as a Liberal member.He was born in Baie-Saint-Paul Quebec the son of Louis Gagnon and Marguerite Durette. Gagnon was a justice of the peace and a lieutenant in the militia for Charlevoix County.
5,Ashour Suleiman Shuwail, Ashour Suleiman Shuwail is a retired Libyan security officer who served as the minister of interior in the cabinet that was formed after the first democratic elections in July 2012.
5,William de Chesney, William de Chesney (flourished 1142É??1161) was an Anglo-Norman magnate during the reign of King Stephen of England (reigned 1135É??1154) and King Henry II of England (reigned 1154É??1189). Chesney was part of a large family; one of his brothers became Bishop of Lincoln and another Abbot of Evesham Abbey. Stephen may have named him Sheriff of Oxfordshire.
5,Neven Mimica, Neven Mimica (n?¶??en m??mitsa; born 12 October 1953) is a Croatian politician and diplomat currently serving as a European Commissioner for Consumer Protection.Mimica graduated from the University of Zagreb Faculty of Economics in 1976. Between 1979 and 1997 he held positions in various governmental bodies related to foreign relations and foreign trade policies including several counselling positions at embassies in Cairo and Ankara.
5,Ted Wheeler, Edward Tevis Ted Wheeler (born August 31 1962) is an American politician from Oregon. He was appointed Oregon State Treasurer on March 9 2010 to replace Ben Westlund who died in office and was subsequently elected to a full term in 2012. He is a member of the Democratic Party.
5,John Pittenger, John C. Pittenger (May 23 1930 É?? December 6 2009) was an American lawyer academic and former Democratic member of the Pennsylvania House of Representatives serving two non-consecutive terms in the State House. He was appointed the Secretary of the Pennsylvania Department of Education from 1972 until 1976.Pittenger served as the dean of the Rutgers University School of Law - Camden from 1981 until 1986.
5,Henry Somerset 8th Duke of Beaufort, Captain Henry Charles FitzRoy Somerset 8th Duke of Beaufort KG PC DL (1 February 1824 É?? 30 April 1899) styled Earl of Glamorgan until 1835 and Marquess of Worcester from 1835 to 1853 was a British peer soldier and Conservative politician. He served as Master of the Horse between 1858 and 1859 and again between 1866 and 1868.
5,Abdelmunim al-Rifai," Abdul-Monem Rifai (?ØAbd al-Mun?Øim	RiféÅ?ØéÆ) (23 February 1917 - 17 October 1985) was a Jordanian diplomat and political figure of Palestinian descent. He was born in Lebanon. Rifai was Jordan's first Ambassador/Permanent Representative to the United Nations Headquarters in New York in 1956. Rifai was additionally one of Jordan's most prominent poets and penned the lyrics of the Jordanian National Anthem."
5,Adolphe-Philippe Caron, Sir Joseph-Philippe-Ren??-Adolphe Caron PC KCMG (24 December 1843 É?? 20 April 1908) was a Canadian lawyer and politician. He is now best remembered as the Minister of Militia and Defence in the government of Sir John A. Macdonald and his role during the North-West Rebellion of 1885.He was born in Quebec City in 1843 the son of Ren??-??douard Caron and studied at the Petit S??minaire de Qu??bec and McGill College.
5,Carlos Bilbao, Carlos V. Bilbao (born November 14 1936 in Emmett Idaho) is a Republican Idaho State Representative since 2004 representing District 11 in the B seat. Redistricted to District 8 Bilbao had announced in December 2011 that he would seek its senate seat but in February 2012 announced that he would retire.
5,B??la K??peczi, B??la K??peczi (16 September 1921 É?? 17 January 2010) was a Hungarian cultural historian and politician who served as Minister of Education between 1982 and 1988. He was the Secretary-General of the Hungarian Academy of Sciences from 1972 to 1975.
5,Anthony Liu Bainian, Liu Bainian or Anthony Liu is the honorary chairman of the state-run Chinese Catholic Patriotic Association (CPA) and the Bishops Conference of the Catholic Church in China (BCCCC) the body which oversees the selection and ordination of bishops in China.Born in Shandong Province Liu was named secretary-general of the CPA in 1980 and subsequently served as vice president of the organizationwhich operates under the control of the State Administration for Religious Affairs.
5,Jonathan Kreiss-Tomkins, Jonathan S. Kreiss-Tomkins (born February 7 1989) is a member of the Alaska House of Representatives. A Democrat he represents the state's thirty-fourth district which encompasses many Southeast island communities including Hoonah Sitka Haines Kake Klawock Craig and Metlakatla.
5,N. Indirakumar, Niththiyanantham Indirakumar (alias Prasanna) is a Sri Lankan Tamil politician and provincial councillor.Indirakumar is the Deputy Leader and General Secretary of the Tamil Eelam Liberation Organization.Indirakumar contested the 2010 parliamentary election as one of the Tamil National Alliance's candidates in Batticaloa District but failed to get elected after coming fifth amongst the TNA candidates.
5,Jos?? Woldenberg, Isaac Jos?? Woldenberg Karakowski (born on 8 September 1952) is a Mexican political scientist and sociologist who served as the first president of the Federal Electoral Institute and currently works as director of Nexos magazine.Woldenberg was born in Monterrey into a family that had immigrated from Eastern Europe.
5,Munir Akram, Munir Akram HQA (Urdu: ???????Ò ?????Ò??É??) (born 2 December 1945) was the Permanent Representative of Pakistan to the United Nations from 2002 to 2008. Following a regime change in 2008 Ambassador Akram stepped down to pursue a career in the private sector. He was replaced by Hussain Haroon a politician and a non-career diplomat.Akram was accused of violence against his partner Marijana Mihic in December 2012 while serving as Pakistan's ambassador to the UN.
5,Neville Chamberlain, Arthur Neville Chamberlain FRS (18 March 1869 É?? 9 November 1940) was a British Conservative politician who served as Prime Minister of the United Kingdom from May 1937 to May 1940. Chamberlain is best known for his appeasement foreign policy and in particular for his signing of the Munich Agreement in 1938 conceding the German-populated Sudetenland region of Czechoslovakia to Germany.
5,Philippe Couillard, Philippe Couillard (born June 26 1957) is the current and 31st Premier of Quebec leader of the Quebec Liberal Party and a former university professor and neurosurgeon in Quebec Canada. He was elected MNA of Outremont with 55% of votes in the Outremont's by-election on December 9 2013. In the 2014 election he moved to the riding of Roberval where he resides.
5,James Cecil Walter Pereira, James Cecil Walter Pereira was the 4th Solicitor General of Ceylon. He was appointed on 1906 succeeding Ponnambalam Ramanathan and held the office until 1912. He was succeeded by James Van Langenberg.
5,Mikul?≠è≠ Ferjenéç??k, Brigadier General Dr. Mikul?≠è≠ Ferjenéç??k (6 December 1904 É?? 4 March 1988) was a Czechoslovak military veterinarian resistance fighter and exiled politician. In 1992 he was posthumously promoted to the rank of General of the Army.
5,Henry FitzHugh 3rd Baron FitzHugh, Henry FitzHugh 3rd Baron FitzHugh KG (c.É??1363 É?? 11 January 1425) was an English administrator and diplomat who served under Henry IV and Henry V.
5,Anni Sinnem??ki, Anni Milja Maaria Sinnem??ki (born 20 July 1973) is a Finnish politician and a member of the Finnish Parliament representing the Green League. She was first elected to the parliament in 1999 and acted as the Minister for Labour from 2009 to 2011. She was elected chairwoman of the Green League on May 16th 2009 and sought a second term in 2011 but lost to Ville Niinist?? in a party election. She has been a member of the city council of Helsinki since 2004.
5,David Berger (Canadian politician), David Berger (born March 30 1950) is a Canadian lawyer politician diplomat and sports executive.He was born in Ottawa Ontario the eldest son of Sam Berger. He attended Ashbury College before receiving a Bachelor of Arts degree in 1971 from the University of Toronto and a Bachelor of Civil Law in 1975 from McGill University. From 1975 to 1979 he was an Executive Vice-President for the Montreal Alouettes Football Club. From 1978 to 1979 he was President of the Canadian Football League.
